

[2026-08-31 16:50:09] Startup - updater built Dec  2 2013 18:43:44
[2026-08-31 16:50:09] Checking for update on startup
[2026-08-31 16:50:09] Checking for available update...
[2026-08-31 16:50:10] Download failed: http error 0
[2026-08-31 16:50:10] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:10] Downloading update (0 of 43,472 KB)...
[2026-08-31 16:50:11] Error: Download of package (steamcmd_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_siteserverui_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamerrorreporter_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamservice_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_bins_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_public_all) failed after 0 bytes (0).
[2026-08-31 16:50:11] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:11] Downloading update (15 of 43,472 KB)...
[2026-08-31 16:50:11] Downloading update (115 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (261 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (377 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (470 of 43,472 KB)...
[2026-08-31 16:52:09] Downloading update (40,706 of 43,472 KB)...
[2026-08-31 16:52:10] Downloading update (40,796 of 43,472 KB)...
[2026-08-31 16:52:10] Downloading update (40,864 of 43,472 KB)...
[2026-08-31 16:52:10] Downloading update (40,870 of 43,472 KB)...
[2026-08-31 16:52:11] Downloading update (40,966 of 43,472 KB)...
[2026-08-31 16:52:11] Downloading update (41,001 of 43,472 KB)...
[2026-08-31 16:52:11] Downloading update (41,052 of 43,472 KB)...
[2026-08-31 16:52:12] Downloading update (41,053 of 43,472 KB)...
[2026-08-31 16:52:12] Downloading update (41,055 of 43,472 KB)...
[2026-08-31 16:52:12] Downloading update (41,056 of 43,472 KB)...
[2026-08-31 16:52:12] Downloading update (41,058 of 43,472 KB)...
[2026-08-31 16:52:14] Downloading update (41,059 of 43,472 KB)...
[2026-08-31 16:52:14] Downloading update (41,062 of 43,472 KB)...
[2026-08-31 16:52:16] Downloading update (41,065 of 43,472 KB)...
[2026-08-31 16:52:17] Downloading update (41,068 of 43,472 KB)...
[2026-08-31 16:52:18] Downloading update (41,069 of 43,472 KB)...
[2026-08-31 16:52:18] Downloading update (41,072 of 43,472 KB)...
[2026-08-31 16:52:18] Downloading update (41,073 of 43,472 KB)...
[2026-08-31 16:52:19] Downloading update (41,076 of 43,472 KB)...
[2026-08-31 16:52:19] Downloading update (41,083 of 43,472 KB)...
[2026-08-31 16:52:19] Downloading update (41,087 of 43,472 KB)...
[2026-08-31 16:52:20] Downloading update (41,174 of 43,472 KB)...
[2026-08-31 16:52:21] Downloading update (41,239 of 43,472 KB)...
[2026-08-31 16:52:21] Downloading update (41,324 of 43,472 KB)...
[2026-08-31 16:52:21] Downloading update (41,403 of 43,472 KB)...
[2026-08-31 16:52:21] Downloading update (41,491 of 43,472 KB)...
[2026-08-31 16:52:22] Downloading update (41,530 of 43,472 KB)...
[2026-08-31 16:52:22] Downloading update (41,629 of 43,472 KB)...
[2026-08-31 16:52:22] Downloading update (41,735 of 43,472 KB)...
[2026-08-31 16:52:22] Downloading update (41,845 of 43,472 KB)...
[2026-08-31 16:52:23] Downloading update (41,938 of 43,472 KB)...
[2026-08-31 16:52:23] Downloading update (42,065 of 43,472 KB)...
[2026-08-31 16:52:23] Downloading update (42,099 of 43,472 KB)...
[2026-08-31 16:52:24] Downloading update (42,103 of 43,472 KB)...
[2026-08-31 16:52:24] Downloading update (42,253 of 43,472 KB)...
[2026-08-31 16:52:24] Downloading update (42,331 of 43,472 KB)...
[2026-08-31 16:52:24] Downloading update (42,338 of 43,472 KB)...
[2026-08-31 16:52:25] Downloading update (42,363 of 43,472 KB)...
[2026-08-31 16:52:25] Downloading update (42,546 of 43,472 KB)...
[2026-08-31 16:52:25] Downloading update (42,642 of 43,472 KB)...
[2026-08-31 16:52:25] Downloading update (42,694 of 43,472 KB)...
[2026-08-31 16:52:26] Downloading update (42,738 of 43,472 KB)...
[2026-08-31 16:52:26] Downloading update (42,971 of 43,472 KB)...
[2026-08-31 16:52:26] Downloading update (43,138 of 43,472 KB)...
[2026-08-31 16:52:27] Downloading update (43,289 of 43,472 KB)...
[2026-08-31 16:52:27] Downloading update (43,472 of 43,472 KB)...
[2026-08-31 16:52:27] Download Complete.
[2026-08-31 16:52:27] uninstalled manifest found in C:\Users\abdur\OneDrive\Desktop\game\cs16_server\steamcmd\package\steam_cmd_win32 (1).
[2026-08-31 16:52:27] Found pending update
[2026-08-31 16:52:27] Applying update...
[2026-08-31 16:52:27] Extracting package...
[2026-08-31 16:52:28] Installing update...
[2026-08-31 16:52:29] Committing NTFS transaction (0 non-transactional backup files)
[2026-08-31 16:52:29] Cleaning up...
[2026-08-31 16:52:29] Update complete, launching...
[2026-08-31 16:52:29] Shutdown


[2026-08-31 16:54:16] Startup - updater built Aug  3 2026 12:41:52
[2026-08-31 16:54:16] Startup - Steam Client launched with: "C:\Users\abdur\OneDrive\Desktop\game\cs16_server\steamcmd\steamcmd.exe"  <+119 truncated>
[2026-08-31 16:54:16] Windows 10.0.26200.0, 0, 2, 256, 1, 48 
[2026-08-31 16:54:16] Failed to load cached hosts file (File 'update_hosts_cached.vdf' not found), using defaults
[2026-08-31 16:54:16] Using the following download hosts for Public, Realm steamglobal
[2026-08-31 16:54:16] 1. https://client-update.steamstatic.com, /, Realm 'steamglobal', weight was 1, source = 'baked in'
[2026-08-31 16:54:16] Checking for update on startup
[2026-08-31 16:54:16] Checking for available updates...
[2026-08-31 16:54:16] Downloading manifest: https://client-update.steamstatic.com/steam_cmd_win64
[2026-08-31 16:54:16] Manifest download: send request
[2026-08-31 16:54:16] Manifest download: waiting for download to finish
[2026-08-31 16:54:17] Manifest download: finished
[2026-08-31 16:54:17] Download skipped: /steam_cmd_win64 version 1785799152, installed version 1785799152, existing pending version 0
[2026-08-31 16:54:17] Nothing to do
[2026-08-31 16:54:17] Verifying installation...
[2026-08-31 16:54:17] Verifying all executable checksums
[2026-08-31 16:54:17] Verification complete


[2026-08-31 16:54:37] Startup - updater built Aug  3 2026 12:41:52
[2026-08-31 16:54:37] Startup - Steam Client launched with: "C:\Users\abdur\OneDrive\Desktop\game\cs16_server\steamcmd\steamcmd.exe"  <+119 truncated>
[2026-08-31 16:54:37] Windows 10.0.26200.0, 0, 2, 256, 1, 48 
[2026-08-31 16:54:37] Failed to load cached hosts file (File 'update_hosts_cached.vdf' not found), using defaults
[2026-08-31 16:54:37] Using the following download hosts for Public, Realm steamglobal
[2026-08-31 16:54:37] 1. https://client-update.steamstatic.com, /, Realm 'steamglobal', weight was 1, source = 'baked in'
[2026-08-31 16:54:37] Checking for update on startup
[2026-08-31 16:54:37] Checking for available updates...
[2026-08-31 16:54:37] Downloading manifest: https://client-update.steamstatic.com/steam_cmd_win64
[2026-08-31 16:54:37] Manifest download: send request
[2026-08-31 16:54:38] Manifest download: waiting for download to finish
[2026-08-31 16:54:40] Manifest download: finished
[2026-08-31 16:54:40] Download skipped: /steam_cmd_win64 version 1785799152, installed version 1785799152, existing pending version 0
[2026-08-31 16:54:40] Nothing to do
[2026-08-31 16:54:40] Verifying installation...
[2026-08-31 16:54:40] Verifying all executable checksums
[2026-08-31 16:54:40] Verification complete
